,Actor Ranking,Title,Year,Genre,Rating
3046,42,Star Wars: Episode III - Die Rache der Sith,(2005),"Action, Adventure, Fantasy",7.6
3047,42,Die etwas anderen Cops,(2010),"Action, Comedy, Crime",6.6
3048,42,Black Snake Moan,(2006),"Drama, Music",6.9
3049,42,Thor,(2011),"Action, Adventure, Fantasy",7.0
3050,42,Spider-Man: Far from Home,(2019),"Action, Adventure, Sci-Fi",7.4
3051,42,Star Wars: Episode II - Angriff der Klonkrieger,(2002),"Action, Adventure, Fantasy",6.6
3052,42,Kong: Skull Island,(2017),"Action, Adventure, Fantasy",6.6
3053,42,The Return of the First Avenger,(2014),"Action, Adventure, Sci-Fi",7.8
3054,42,S.W.A.T. - Die Spezialeinheit,(2003),"Action, Adventure, Crime",6.0
3055,42,Der Prinz aus Zamunda,(1988),"Comedy, Romance",7.1
3056,42,Die Jury,(1996),"Crime, Drama, Thriller",7.5
3057,42,Die Unglaublichen 2,(2018),"Animation, Action, Adventure",7.6
3058,42,Zimmer 1408,(2007),"Fantasy, Horror, Mystery",6.8
3059,42,Killer's Bodyguard 2,(2021),"Action, Comedy, Crime",6.1
3060,42,Legend of Tarzan,(2016),"Action, Adventure, Drama",6.2
3061,42,Jackie Brown,(1997),"Crime, Drama, Thriller",7.5
3062,42,Coach Carter,(2005),"Biography, Drama, Sport",7.3
3063,42,Do the Right Thing,(1989),"Comedy, Drama",7.9
3064,42,Unbreakable - Unzerbrechlich,(2000),"Drama, Mystery, Sci-Fi",7.3
3066,42,Stirb langsam - Jetzt erst recht,(1995),"Action, Adventure, Thriller",7.6
3067,42,Out of Sight,(1998),"Comedy, Crime, Drama",7.0
3068,42,Killer's Bodyguard,(2017),"Action, Comedy, Crime",6.9
3069,42,xXx: Die Rückkehr des Xander Cage,(2017),"Action, Adventure, Thriller",5.2
3070,42,Kill Bill: Vol. 2,(2004),"Action, Crime, Thriller",8.0
3071,42,Die Insel der besonderen Kinder,(2016),"Adventure, Drama, Family",6.7
3072,42,Oldboy,(2013),"Action, Drama, Mystery",5.8
3073,42,Jumper,(2008),"Action, Adventure, Sci-Fi",6.1
3074,42,Saw - Spiral,(2021),"Crime, Drama, Horror",5.2
3075,42,The Protégé - Made for Revenge,(2021),"Action, Thriller",6.1
3076,42,Die Stunde der Patrioten,(1992),"Action, Thriller",6.8
3077,42,Paws of Fury: The Legend of Hank,(2022),"Animation, Action, Comedy",5.7
3078,42,xXx - Triple X,(2002),"Action, Adventure, Thriller",5.8
3079,42,Astro Boy - Der Film,(2009),"Animation, Action, Adventure",6.2
3080,42,Deep Blue Sea,(1999),"Action, Adventure, Sci-Fi",5.9
3081,42,Tödliche Weihnachten,(1996),"Action, Crime, Drama",6.8
3082,42,RoboCop,(2014),"Action, Crime, Sci-Fi",6.2
3083,42,Snakes on a Plane,(2006),"Action, Adventure, Crime",5.5
3084,42,Life Itself,(2018),"Drama, Romance",6.8
3085,42,Menace II Society,(1993),"Crime, Drama, Thriller",7.5
3086,42,Hardcore,(2015),"Action, Adventure, Sci-Fi",6.7
3088,42,Cleaner - Sein Geschäft ist der Tod,(2007),Thriller,6.1
3089,42,The Banker,(2020),"Biography, Drama",7.3
3090,42,Big Game,(2014),"Action, Adventure",5.4
3091,42,Shaft,(2019),"Action, Comedy, Crime",6.4
3092,42,Verhandlungssache,(1998),"Action, Crime, Drama",7.3
3093,42,Der Exorzist III,(1990),"Drama, Horror, Mystery",6.5
3094,42,Shaft - Noch Fragen?,(2000),"Action, Crime, Thriller",6.0
3095,42,"Turbo - Kleine Schnecke, großer Traum",(2013),"Animation, Adventure, Comedy",6.4
3096,42,Lakeview Terrace,(2008),"Crime, Drama, Thriller",6.2
3097,42,The Spirit,(2008),"Action, Crime, Fantasy",4.7
3098,42,Puls, (2016),"Action, Adventure, Horror",4.4
3099,42,Sphere - Die Macht aus dem All,(1998),"Action, Mystery, Sci-Fi",6.1
3100,42,Last Exit Reno,(1996),"Crime, Drama",7.2
3101,42,Star Wars: The Clone Wars,(2008),"Animation, Action, Adventure",5.9
3102,42,Unthinkable,(2010),"Crime, Drama, Thriller",7.0
3103,42,xXx 2 - The Next Level,(2005),"Action, Adventure, Crime",4.4
3104,42,Juice - City War,(1992),"Action, Crime, Drama",7.0
3105,42,Basic - Hinter jeder Lüge eine Wahrheit,(2003),"Action, Crime, Drama",6.4
3106,42,The Last Full Measure,(2019),"Drama, War",6.8
3107,42,Secret Agency: Barely Lethal,(2015),"Action, Comedy",5.4
3108,42,Loaded Weapon 1,(1993),"Action, Comedy, Crime",6.2
3109,42,Fresh,(1994),"Crime, Drama, Thriller",7.5
3110,42,Spurwechsel,(2002),"Drama, Thriller",6.5
3111,42,Eve's Bayou,(1997),Drama,7.2
3112,42,The 51st State,(2001),"Action, Comedy, Crime",6.3
3113,42,Jungle Fever,(1991),"Drama, Romance",6.6
3114,42,Ragtime,(1981),Drama,7.3
3115,42,Melodie des Todes,(1989),"Crime, Drama, Mystery",6.8
3116,42,Rules - Sekunden der Entscheidung,(2000),"Drama, Thriller, War",6.4
3117,42,Die andere Mutter,(1993),Drama,6.4
3118,42,Kiss of Death,(1995),"Crime, Drama, Thriller",5.9
3119,42,Mord mit System,(1990),"Comedy, Crime, Thriller",6.7
3120,42,Twisted - Der erste Verdacht, (2004),"Crime, Drama, Mystery",5.3
3121,42,School Daze,(1988),"Comedy, Drama, Musical",6.1
3122,42,Reasonable Doubt,(2014),"Crime, Drama, Thriller",5.7
3123,42,White Sands - Der große Deal,(1992),"Action, Crime, Drama",6.0
3124,42,187 - Eine tödliche Zahl,(1997),"Drama, Thriller",6.6
3125,42,Die rote Violine,(1998),"Drama, Music, Mystery",7.6
3126,42,Unicorn Store,(2017),"Comedy, Drama, Fantasy",5.6
3127,42,"Trees Lounge - Die Bar, in der sich alles dreht",(1996),"Comedy, Drama",7.1
3128,42,Soul Men,(2008),"Comedy, Drama, Music",6.4
3129,42,Cool & Fool - Mein Partner mit der großen Schnauze,(2005),"Action, Comedy, Crime",5.5
3130,42,Mo' Better Blues,(1990),"Drama, Music, Romance",6.7
3132,42,Kite - Engel der Rache,(2014),"Action, Crime, Thriller",4.4
3134,42,Chi-Raq,(2015),"Comedy, Crime, Drama",5.9
3135,42,Der Exterminator,(1980),"Action, Crime, Drama",5.7
3136,42,Johnny Suede,(1991),"Comedy, Drama, Music",5.8
3137,42,Meeting Evil,(2012),"Crime, Drama, Mystery",5.3
